ID,householdID,communityID,j001s1,j001s2,j001s3,j001s4,j001s5,j001s6,j002,j003,j004s1,j004s2,j004s3,j005,j006,j007
09400411901,094004119,0940041,e,2,e,e,e,e,2,1,2612760436016,2612000134512,2612000134512,4,5,2
09400412201,094004122,0940041,e,2,e,e,e,e,3,1,2612760436208,2612000134512,2612000134512,2,6,3
09400412202,094004122,0940041,e,2,e,e,e,e,3,1,2612760436400,2612000134512,2612000134512,2,6,3
09400410901,094004109,0940041,1,e,e,e,e,e,,1,2612760436592,2612000134512,2612000134512,2,6,3
09400410902,094004109,0940041,e,2,e,e,e,e,2,1,2612760436784,2612000134512,2612000134512,2,6,3
09400411601,094004116,0940041,e,2,e,e,e,e,3,1,2612760436976,2612000134512,2612000134512,2,6,3
09400411602,094004116,0940041,e,2,e,e,e,e,3,1,2612760437104,2612000134512,2612000134512,2,6,3
09400411702,094004117,0940041,e,2,e,e,e,e,2,1,2612760435760,2612000134512,2612000134512,3,5,3
09400411701,094004117,0940041,e,2,e,e,e,e,3,1,2612760437744,2612000134512,2612000134512,2,6,3
09400410701,094004107,0940041,e,e,3,e,e,e,3,3,2612760438000,2612000134512,2612000134512,2,6,3
09400410201,094004102,0940041,e,e,e,4,e,e,2,3,2612760437616,2612000134512,2612000134512,4,4,2
09400431002,094004310,0940043,1,e,e,e,e,e,,3,2612760438512,2612000134512,2612000134512,6,3,2
09400431001,094004310,0940043,e,2,e,e,e,e,3,2,2612760438192,2612000134512,2612000134512,2,5,3
09400430101,094004301,0940043,e,2,e,e,e,e,3,2,2612760438832,2612000134512,2612000134512,6,3,2
09400430102,094004301,0940043,e,2,e,e,e,e,3,2,2612760439408,2612000134512,2612000134512,2,6,3
09400430202,094004302,0940043,e,e,e,4,e,e,3,5,e,2,e,3,5,3
09400430201,094004302,0940043,e,2,e,e,e,e,3,3,2612760439920,2612000134512,2612000134512,3,4,3
09400430801,094004308,0940043,1,e,e,e,e,e,,2,2612760440368,2612000134512,2612000134512,4,5,3
09400430501,094004305,0940043,1,e,e,e,e,e,,4,2612760440560,2612000134512,2612000134512,4,4,3
09400430502,094004305,0940043,1,e,e,e,e,e,,2,2612760440752,2612000134512,2612000134512,4,4,3
09400430301,094004303,0940043,e,2,e,e,e,e,3,1,2612760440944,2612000134512,2612000134512,1,6,3
09400430302,094004303,0940043,e,2,e,e,e,e,3,1,2612760441136,2612000134512,2612000134512,1,6,1
09400430701,094004307,0940043,e,2,e,e,e,e,3,1,2612760441328,2612000134512,2612000134512,2,6,3
09400430702,094004307,0940043,1,e,e,e,e,e,,2,2612760441520,2612000134512,2612000134512,3,5,3
09400430401,094004304,0940043,1,e,e,e,e,e,,1,2612760441712,2612000134512,2612000134512,1,6,3
09400430402,094004304,0940043,e,2,e,4,e,e,,1,2612760441904,2612000134512,2612000134512,2,5,1
09400430602,094004306,0940043,e,2,e,e,e,e,3,2,2612760442096,2612000134512,2612000134512,2,6,3
09400430601,094004306,0940043,e,2,e,e,e,e,3,2,2612760442288,2612000134512,2612000134512,2,6,3
09400430901,094004309,0940043,1,e,e,e,e,e,,3,2612760442480,2612000134512,2612000134512,2,5,3
09400421901,094004219,0940042,e,2,e,4,e,e,,1,2612760442672,2612000134512,2612000134512,1,5,3
09400421902,094004219,0940042,e,2,e,e,e,e,2,1,2612760442864,2612000134512,2612000134512,1,5,3
09400422002,094004220,0940042,e,2,e,e,e,e,2,1,2612760443056,2612000134512,2612000134512,1,6,3
09400422001,094004220,0940042,e,2,e,e,e,e,2,1,2612760443248,2612000134512,2612000134512,1,6,3
09400421002,094004210,0940042,e,2,e,e,e,e,3,1,2612760443440,2612000134512,2612000134512,1,6,3
09400421001,094004210,0940042,e,2,e,e,e,e,2,1,2612760443632,2612000134512,2612000134512,1,6,3
09400421502,094004215,0940042,e,2,e,e,e,e,3,1,2612760443824,2612000134512,2612000134512,1,6,3
09400421501,094004215,0940042,e,2,e,e,e,e,2,1,2612760444016,2612000134512,2612000134512,2,5,1
09400420501,094004205,0940042,1,e,e,e,e,e,,2,2612760444208,2612000134512,2612000134512,2,5,3
09400421701,094004217,0940042,1,e,e,e,e,e,,2,2612760444400,2612000134512,2612000134512,3,5,3
09400421702,094004217,0940042,1,e,e,e,e,e,,2,2612760444592,2612000134512,2612000134512,3,5,3
09400420701,094004207,0940042,1,e,e,e,e,e,,2,2612760444784,2612000134512,2612000134512,2,5,3
09400420902,094004209,0940042,1,e,e,4,e,e,,2,2612760439792,2612000134512,2612000134512,2,5,3
09400420901,094004209,0940042,1,e,e,4,e,e,,2,2612760439664,2612000134512,2612000134512,2,5,3
09400421301,094004213,0940042,e,2,e,e,e,e,3,6,2612760439088,2612000134512,2612000134512,2,5,3
09400421302,094004213,0940042,1,2,e,e,e,e,,2,2612686899248,2612000134512,2612000134512,4,4,3
09400420802,094004208,0940042,e,2,e,e,e,e,3,1,2612686913392,2612000134512,2612000134512,2,6,3
09400420801,094004208,0940042,e,2,e,e,e,e,2,1,2612686913200,2612000134512,2612000134512,3,6,3
09400421802,094004218,0940042,e,2,e,e,e,e,2,2,2612686913008,2612000134512,2612000134512,2,6,1
09400421801,094004218,0940042,e,2,e,e,e,e,2,1,2612686912816,2612000134512,2612000134512,2,6,3
09400421402,094004214,0940042,e,2,e,4,e,e,,1,2612686912624,2612000134512,2612000134512,3,5,1
09400421401,094004214,0940042,e,2,e,4,e,e,,2,2612686912432,2612000134512,2612000134512,5,3,3
09400421602,094004216,0940042,e,2,e,e,e,e,2,1,2612686912240,2612000134512,2612000134512,1,6,3
09400421601,094004216,0940042,e,2,e,e,e,e,3,1,2612686912048,2612000134512,2612000134512,1,6,3
09400420401,094004204,0940042,e,2,e,e,e,e,3,1,2612686911856,2612000134512,2612000134512,2,6,3
09400420402,094004204,0940042,e,2,e,e,e,e,3,1,2612686911664,2612000134512,2612000134512,3,5,1
09400421202,094004212,0940042,1,e,e,e,e,e,,1,2612686911472,2612000134512,2612000134512,1,6,3
09400421201,094004212,0940042,1,e,e,e,e,e,,1,2612686911280,2612000134512,2612000134512,1,6,3
09400421101,094004211,0940042,1,e,e,e,e,e,,1,2612686911152,2612000134512,2612000134512,2,6,3
09400422201,094004222,0940042,e,e,e,4,e,e,2,1,2612686910512,2612000134512,2612000134512,3,5,3
09400420602,094004206,0940042,e,2,e,e,e,e,3,6,2612686910320,2612000134512,2612000134512,1,6,3
09400420601,094004206,0940042,e,2,e,e,e,e,3,1,2612686910128,2612000134512,2612000134512,1,6,3
09400422101,094004221,0940042,1,e,e,e,e,e,,6,2612686909936,2612000134512,2612000134512,2,6,3
09400420302,094004203,0940042,e,2,e,e,e,e,2,5,e,2,e,4,4,1
09400420202,094004202,0940042,1,e,e,e,e,e,,2,2612686909552,2612000134512,2612000134512,3,6,3
19403721601,194037216,1940372,1,e,e,e,e,e,,1,2612686909360,2612000134512,2612000134512,6,6,3
19403721602,194037216,1940372,1,e,e,e,e,e,,1,2612686909168,2612000134512,2612000134512,3,6,3
19403721001,194037210,1940372,1,e,e,e,e,e,,1,2612686908976,2612000134512,2612000134512,1,6,2
19403721002,194037210,1940372,1,e,e,e,e,e,,1,2612686908784,2612000134512,2612000134512,1,6,2
19403721701,194037217,1940372,e,2,e,e,5,e,,1,2612686908592,2612000134512,2612000134512,1,6,3
19403721702,194037217,1940372,e,e,e,e,5,e,2,1,2612686908400,2612000134512,2612000134512,3,5,1
19403720501,194037205,1940372,e,2,e,e,e,e,3,1,2612686908208,2612000134512,2612000134512,1,6,3
19403720502,194037205,1940372,1,e,e,e,e,e,,1,2612686908016,2612000134512,2612000134512,1,6,3
19403720301,194037203,1940372,1,e,e,e,e,e,,1,2612686907824,2612000134512,2612000134512,1,6,3
19403720302,194037203,1940372,e,2,e,e,e,e,3,1,2612686907632,2612000134512,2612000134512,1,6,3
19403721302,194037213,1940372,e,2,e,e,e,e,3,1,2612686907440,2612000134512,2612000134512,1,6,3
19403721301,194037213,1940372,1,e,e,e,e,e,,1,2612686907248,2612000134512,2612000134512,1,6,3
19403720802,194037208,1940372,1,e,e,e,e,e,,1,2612686907056,2612000134512,2612000134512,1,6,3
19403720801,194037208,1940372,e,2,e,e,e,6,,1,2612686906864,2612000134512,2612000134512,2,6,3
19403721502,194037215,1940372,1,e,e,e,e,e,,1,2612686906672,2612000134512,2612000134512,1,6,3
19403721501,194037215,1940372,e,2,e,e,e,e,3,1,2612686906480,2612000134512,2612000134512,1,6,3
19403720101,194037201,1940372,e,2,e,e,e,e,3,1,2612686906288,2612000134512,2612000134512,1,6,3
19403720102,194037201,1940372,e,e,e,e,e,6,2,1,2612686906096,2612000134512,2612000134512,2,5,2
19403721901,194037219,1940372,e,2,e,4,5,6,,1,2612686905904,2612000134512,2612000134512,1,6,3
19403721902,194037219,1940372,e,2,e,4,5,6,,1,2612686905712,2612000134512,2612000134512,2,6,3
19403720902,194037209,1940372,1,e,e,e,e,e,,1,2612686905520,2612000134512,2612000134512,1,6,3
19403720901,194037209,1940372,1,e,e,e,e,e,,1,2612686905328,2612000134512,2612000134512,1,6,3
19403721402,194037214,1940372,1,e,e,e,e,e,,1,2612686905136,2612000134512,2612000134512,1,6,3
19403721401,194037214,1940372,e,2,e,e,e,e,3,1,2612686904944,2612000134512,2612000134512,1,6,3
19403720202,194037202,1940372,e,2,e,e,e,e,3,1,2612686904752,2612000134512,2612000134512,1,6,3
19403720201,194037202,1940372,e,2,e,e,e,e,2,1,2612686904560,2612000134512,2612000134512,4,5,1
19403720602,194037206,1940372,e,2,e,e,e,e,3,1,2612686904368,2612000134512,2612000134512,6,6,3
19403720601,194037206,1940372,e,2,e,e,e,e,3,1,2612686904176,2612000134512,2612000134512,1,6,3
19403720701,194037207,1940372,e,2,e,e,e,6,,1,2612686903984,2612000134512,2612000134512,1,6,3
19403720702,194037207,1940372,e,2,e,e,e,6,,1,2612686903792,2612000134512,2612000134512,1,6,3
19403721802,194037218,1940372,1,e,e,e,e,e,,1,2612686903600,2612000134512,2612000134512,1,6,1
19403721801,194037218,1940372,e,2,e,e,5,e,,5,e,2,e,2,5,3
19403720401,194037204,1940372,e,e,e,e,5,e,2,1,2612686903216,2612000134512,2612000134512,3,5,3
19403720402,194037204,1940372,1,e,e,e,e,e,,1,2612686903024,2612000134512,2612000134512,1,6,3
19403721102,194037211,1940372,e,2,e,e,e,e,3,1,2612686902832,2612000134512,2612000134512,1,6,2
19403721101,194037211,1940372,e,2,e,e,e,e,3,1,2612686902640,2612000134512,2612000134512,1,6,3
19403721202,194037212,1940372,e,e,e,e,e,6,2,1,2612686902448,2612000134512,2612000134512,2,1,3
19403721201,194037212,1940372,e,e,e,e,e,6,2,1,2612686902256,2612000134512,2612000134512,2,6,3
19403733302,194037333,1940373,1,e,e,e,e,e,,1,2612686902064,2612000134512,2612000134512,2,5,3
19403733301,194037333,1940373,e,2,e,e,e,e,2,2,2612686901872,2612000134512,2612000134512,4,4,2
19403730102,194037301,1940373,1,e,e,e,e,e,,1,2612686901680,2612000134512,2612000134512,1,6,3
19403730101,194037301,1940373,1,e,e,e,e,e,,1,2612686901488,2612000134512,2612000134512,1,6,3
19403732002,194037320,1940373,1,e,e,e,e,e,,1,2612686901296,2612000134512,2612000134512,1,5,3
19403732001,194037320,1940373,1,e,e,e,e,e,,1,2612686901104,2612000134512,2612000134512,1,6,3
19403731502,194037315,1940373,e,2,e,e,e,e,3,1,2612686900912,2612000134512,2612000134512,2,6,2
19403731501,194037315,1940373,e,2,e,e,e,e,3,1,2612686900720,2612000134512,2612000134512,3,5,2
19403731102,194037311,1940373,1,e,e,e,e,e,,1,2612686900528,2612000134512,2612000134512,2,1,3
19403731101,194037311,1940373,e,e,e,e,e,6,2,1,2612686900336,2612000134512,2612000134512,3,6,2
19403731001,194037310,1940373,e,e,e,e,e,6,2,1,2612686900144,2612000134512,2612000134512,1,6,3
19403731002,194037310,1940373,1,e,e,e,e,e,,1,2612686899952,2612000134512,2612000134512,1,6,3
19403732901,194037329,1940373,1,e,e,e,e,e,,1,2612686899632,2612000134512,2612000134512,1,6,2
19403731601,194037316,1940373,e,e,e,e,e,6,2,1,2612686910832,2612000134512,2612000134512,2,5,3
19403731602,194037316,1940373,e,2,e,e,e,e,2,1,2612686899120,2612000134512,2612000134512,2,5,2
19403731401,194037314,1940373,e,2,e,e,e,e,3,1,2612686898928,2612000134512,2612000134512,1,6,3
19403731402,194037314,1940373,1,e,e,e,e,e,,1,2612686898736,2612000134512,2612000134512,1,6,2
19403732301,194037323,1940373,e,e,e,e,5,e,1,5,e,e,3,1,6,3
19403732102,194037321,1940373,e,2,e,4,e,6,,2,2612686898352,2612000134512,2612000134512,2,5,2
19403732101,194037321,1940373,e,e,e,e,e,6,2,1,2612686898160,2612000134512,2612000134512,2,5,2
19403731901,194037319,1940373,1,e,e,e,e,e,,1,2612686897968,2612000134512,2612000134512,1,6,3
19403731902,194037319,1940373,1,e,e,e,e,e,,1,2612686897776,2612000134512,2612000134512,6,6,2
19403730601,194037306,1940373,e,2,e,e,e,e,2,1,2612686897584,2612000134512,2612000134512,1,5,3
19403730602,194037306,1940373,1,e,e,e,e,e,,1,2612686897392,2612000134512,2612000134512,2,5,2
19403732502,194037325,1940373,e,e,e,e,e,6,3,1,2612686897200,2612000134512,2612000134512,1,6,3
19403732501,194037325,1940373,e,e,e,e,e,6,3,1,2612686899440,2612000134512,2612000134512,1,6,3
19403730802,194037308,1940373,e,e,e,e,e,6,3,1,2612686899696,2612000134512,2612000134512,1,6,3
19403730801,194037308,1940373,1,e,e,e,e,e,,1,2612791415216,2612000134512,2612000134512,1,6,3
19403730701,194037307,1940373,e,2,e,e,e,e,3,1,2612791411952,2612000134512,2612000134512,1,6,1
19403730702,194037307,1940373,e,2,e,e,e,e,3,1,2612791418544,2612000134512,2612000134512,1,6,1
19403732601,194037326,1940373,e,2,e,e,e,e,3,1,2612791418288,2612000134512,2612000134512,1,6,1
19403732602,194037326,1940373,e,2,e,e,e,e,3,1,2612791412272,2612000134512,2612000134512,1,6,1
19403731701,194037317,1940373,1,e,e,e,e,e,,1,2612791420656,2612000134512,2612000134512,4,4,2
19403732801,194037328,1940373,e,e,e,e,e,6,3,1,2612791416368,2612000134512,2612000134512,4,4,2
19403733901,194037339,1940373,1,e,e,e,e,e,,1,2612791424944,2612000134512,2612000134512,1,6,2
19403733902,194037339,1940373,e,2,e,e,e,e,1,1,2612791410864,2612000134512,2612000134512,1,6,3
19403732401,194037324,1940373,e,2,e,e,e,e,3,1,2612791421040,2612000134512,2612000134512,6,6,3
19403732402,194037324,1940373,e,e,e,e,e,6,3,1,2612791419120,2612000134512,2612000134512,1,6,2
19403730202,194037302,1940373,e,e,e,e,e,6,2,1,2612791413936,2612000134512,2612000134512,3,5,2
19403730201,194037302,1940373,1,e,e,e,e,e,,1,2612791411632,2612000134512,2612000134512,1,6,3
19403733701,194037337,1940373,1,e,e,e,e,e,,1,2612791422576,2612000134512,2612000134512,1,6,3
19403730401,194037304,1940373,e,2,e,e,e,e,3,1,2612791413168,2612000134512,2612000134512,1,6,3
19403730402,194037304,1940373,e,e,e,e,e,6,3,3,2612791424496,2612000134512,2612000134512,3,5,2
19403733201,194037332,1940373,e,e,e,e,e,6,2,1,2612791420400,2612000134512,2612000134512,2,5,3
19403733202,194037332,1940373,1,e,e,e,e,e,,5,e,2,e,1,6,3
19403730901,194037309,1940373,1,e,e,e,e,e,,1,2612791413104,2612000134512,2612000134512,1,6,3
19403733502,194037335,1940373,e,2,e,e,e,e,3,1,2612791416432,2612000134512,2612000134512,1,6,3
19403733501,194037335,1940373,e,2,e,e,e,e,3,1,2612791413552,2612000134512,2612000134512,1,6,3
19403732702,194037327,1940373,1,e,e,e,e,e,,1,2612791425776,2612000134512,2612000134512,1,6,3
19403732701,194037327,1940373,e,2,e,e,e,e,3,1,2612791420080,2612000134512,2612000134512,1,6,3
19403733002,194037330,1940373,e,e,e,4,e,e,2,1,2612791421552,2612000134512,2612000134512,1,6,3
19403733001,194037330,1940373,1,e,e,e,e,e,,1,2612791426736,2612000134512,2612000134512,1,6,3
19403731301,194037313,1940373,e,e,e,e,5,e,1,1,2612791416944,2612000134512,2612000134512,1,6,3
19403733601,194037336,1940373,1,e,e,e,e,e,,1,2612791413872,2612000134512,2612000134512,2,5,3
19403733602,194037336,1940373,1,e,e,e,e,e,,1,2612791414384,2612000134512,2612000134512,1,5,3
19403733801,194037338,1940373,e,2,e,e,e,6,,1,2612791418032,2612000134512,2612000134512,3,5,1
19403733802,194037338,1940373,e,2,e,e,e,6,,1,2612791417520,2612000134512,2612000134512,1,6,1
19403733401,194037334,1940373,e,e,e,e,e,6,3,2,2612791420272,2612000134512,2612000134512,4,4,2
19403733402,194037334,1940373,e,2,e,e,e,e,2,1,2612791422448,2612000134512,2612000134512,2,6,1
19403731802,194037318,1940373,1,e,e,e,e,e,,1,2612791426096,2612000134512,2612000134512,1,6,3
19403731801,194037318,1940373,1,e,e,e,e,e,,1,2612791421168,2612000134512,2612000134512,1,6,3
19403730301,194037303,1940373,1,e,e,e,e,e,,1,2612791423536,2612000134512,2612000134512,1,3,1
19403733101,194037331,1940373,e,e,e,e,e,6,2,1,2612791411760,2612000134512,2612000134512,2,6,3
19403731201,194037312,1940373,1,e,e,e,e,e,,1,2612791425328,2612000134512,2612000134512,1,6,3
19403730501,194037305,1940373,1,e,e,e,e,e,,1,2612791413488,2612000134512,2612000134512,1,6,3
06402830901,064028309,0640283,e,2,e,4,e,e,,1,2612791426032,2612000134512,2612000134512,1,6,3
06402830902,064028309,0640283,e,2,e,4,e,e,,1,2612791424304,2612000134512,2612000134512,1,6,3
06402830201,064028302,0640283,e,e,e,e,e,6,2,2,2612791426608,2612000134512,2612000134512,2,4,3
06402830202,064028302,0640283,e,e,e,e,e,6,3,3,2612791415536,2612000134512,2612000134512,4,5,3
06402830602,064028306,0640283,1,e,e,e,e,e,,3,2612791414000,2612000134512,2612000134512,3,4,3
06402830601,064028306,0640283,1,e,e,e,e,e,,3,2612791414128,2612000134512,2612000134512,3,5,3
06402831302,064028313,0640283,1,e,e,e,e,e,,2,2612791412336,2612000134512,2612000134512,3,5,3
06402830701,064028307,0640283,e,e,e,e,5,e,3,2,2612791425648,2612000134512,2612000134512,3,5,3
06402831502,064028315,0640283,e,2,e,e,e,e,2,2,2612791415408,2612000134512,2612000134512,2,5,3
06402831501,064028315,0640283,e,2,e,e,e,e,3,1,2612791412208,2612000134512,2612000134512,2,5,3
06402831402,064028314,0640283,1,e,e,e,e,e,,3,2612791424112,2612000134512,2612000134512,3,5,3
06402831401,064028314,0640283,1,e,e,e,e,e,,3,2612791426416,2612000134512,2612000134512,2,4,3
06402831101,064028311,0640283,e,e,e,e,e,6,3,1,2612791418736,2612000134512,2612000134512,2,5,3
06402831102,064028311,0640283,e,2,e,e,e,e,3,3,2612791426800,2612000134512,2612000134512,1,5,3
06402831002,064028310,0640283,e,2,e,4,e,e,,1,2612791425584,2612000134512,2612000134512,5,3,1
06402830802,064028308,0640283,e,2,e,e,e,e,2,2,2612791413296,2612000134512,2612000134512,2,5,1
06402830801,064028308,0640283,e,2,e,e,e,e,2,3,2612791415600,2612000134512,2612000134512,3,4,1
06402830501,064028305,0640283,e,e,e,4,5,e,,4,2612791425968,2612000134512,2612000134512,2,6,1
06402830401,064028304,0640283,1,e,e,e,e,e,,2,2612791414448,2612000134512,2612000134512,3,5,3
06402830402,064028304,0640283,e,e,e,e,e,6,3,4,2612791418416,2612000134512,2612000134512,2,5,3
06402831201,064028312,0640283,1,e,e,e,e,e,,2,2612791416752,2612000134512,2612000134512,1,5,3
06402831202,064028312,0640283,1,e,e,e,e,e,,1,2612791419248,2612000134512,2612000134512,2,4,3
06402830301,064028303,0640283,e,2,e,4,e,6,,1,2612791422128,2612000134512,2612000134512,1,6,3
06402830101,064028301,0640283,e,e,e,4,e,e,2,2,2612791411888,2612000134512,2612000134512,3,4,3
06402810601,064028106,0640281,e,e,e,e,e,6,2,2,2612791424176,2612000134512,2612000134512,3,5,1
06402810502,064028105,0640281,e,2,e,e,e,e,2,5,e,2,e,3,5,1
06402810102,064028101,0640281,e,2,e,e,e,e,1,2,2612791414512,2612000134512,2612000134512,3,4,3
06402810802,064028108,0640281,e,2,3,e,e,e,,2,2612791423152,2612000134512,2612000134512,2,5,3
06402810201,064028102,0640281,1,e,e,e,e,e,,2,2612791411120,2612000134512,2612000134512,2,5,1
06402811101,064028111,0640281,1,e,e,e,e,e,,5,e,2,e,4,4,1
06402811002,064028110,0640281,e,e,e,e,e,6,3,2,2612791416496,2612000134512,2612000134512,2,5,1
06402811702,064028117,0640281,e,2,e,e,e,e,3,2,2612791425200,2612000134512,2612000134512,2,5,3
06402811701,064028117,0640281,e,2,e,e,e,e,3,2,2612791424688,2612000134512,2612000134512,2,5,3
06402810302,064028103,0640281,e,2,e,e,e,e,3,2,2612791413744,2612000134512,2612000134512,2,5,3
06402810301,064028103,0640281,1,e,e,e,e,e,,1,2612791419376,2612000134512,2612000134512,2,5,1
06402811502,064028115,0640281,e,e,e,e,e,6,3,2,2612791424816,2612000134512,2612000134512,2,5,3
06402811501,064028115,0640281,e,e,e,4,e,6,,2,2612791411056,2612000134512,2612000134512,3,5,1
06402810701,064028107,0640281,e,2,e,e,e,e,2,1,2612791419440,2612000134512,2612000134512,2,5,3
06402810702,064028107,0640281,e,2,e,e,e,e,2,1,2612791415280,2612000134512,2612000134512,2,5,3
06402811601,064028116,0640281,e,2,e,e,e,e,2,2,2612791421616,2612000134512,2612000134512,3,4,1
06402811602,064028116,0640281,e,2,e,e,e,e,1,2,2612791421936,2612000134512,2612000134512,4,4,1
06402811201,064028112,0640281,e,2,e,e,e,e,2,1,2612791422256,2612000134512,2612000134512,2,4,1
06402811202,064028112,0640281,e,2,e,e,e,e,1,1,2612791415664,2612000134512,2612000134512,2,5,3
06402811802,064028118,0640281,e,e,e,e,e,6,2,2,2612760885680,2612000134512,2612000134512,2,5,1
06402811801,064028118,0640281,1,e,e,e,e,e,,1,2612760885104,2612000134512,2612000134512,1,1,1
06402811402,064028114,0640281,e,2,e,e,e,e,3,2,2612760884528,2612000134512,2612000134512,2,5,3
06402811401,064028114,0640281,e,2,e,e,e,e,1,3,2612760870960,2612000134512,2612000134512,2,5,3
06402810401,064028104,0640281,e,2,e,e,e,e,2,1,2612760871152,2612000134512,2612000134512,2,5,3
06402810402,064028104,0640281,e,2,e,e,e,e,2,1,2612760871344,2612000134512,2612000134512,2,5,3
06402811302,064028113,0640281,1,e,e,e,e,e,,1,2612760871536,2612000134512,2612000134512,2,5,3
06402811301,064028113,0640281,e,2,e,e,e,e,2,2,2612760871728,2612000134512,2612000134512,2,5,3
06402820802,064028208,0640282,e,e,e,e,e,6,3,1,2612760871920,2612000134512,2612000134512,2,5,3
06402820801,064028208,0640282,e,e,e,e,e,6,3,2,2612760872112,2612000134512,2612000134512,2,5,3
06402821501,064028215,0640282,e,2,e,e,e,6,3,2,2612760872304,2612000134512,2612000134512,2,5,3
06402821502,064028215,0640282,e,e,e,e,e,6,3,2,2612760872496,2612000134512,2612000134512,2,5,3
06402821802,064028218,0640282,e,e,e,e,e,6,3,2,2612760872688,2612000134512,2612000134512,2,5,3
06402821801,064028218,0640282,e,e,e,e,e,6,3,2,2612760872880,2612000134512,2612000134512,2,5,3
06402820702,064028207,0640282,1,e,e,e,e,e,,2,2612760873072,2612000134512,2612000134512,2,5,3
06402820701,064028207,0640282,1,e,e,e,e,e,,2,2612760873264,2612000134512,2612000134512,2,5,3
06402821201,064028212,0640282,e,e,e,e,e,6,3,2,2612760873456,2612000134512,2612000134512,2,5,3
06402821202,064028212,0640282,e,e,e,e,e,6,3,2,2612760873648,2612000134512,2612000134512,2,5,3
06402821701,064028217,0640282,e,e,e,e,e,6,3,2,2612760873840,2612000134512,2612000134512,2,4,3
06402820501,064028205,0640282,e,e,e,e,e,6,2,2,2612760874032,2612000134512,2612000134512,2,5,1
06402820301,064028203,0640282,e,e,e,e,e,6,3,2,2612760874224,2612000134512,2612000134512,2,5,3
06402820302,064028203,0640282,e,e,e,e,e,6,3,2,2612760874416,2612000134512,2612000134512,2,5,3
06402821301,064028213,0640282,e,e,e,e,e,6,3,2,2612760874608,2612000134512,2612000134512,2,5,2
06402822101,064028221,0640282,e,e,e,e,e,6,3,1,2612760874800,2612000134512,2612000134512,2,5,3
06402822102,064028221,0640282,e,e,e,e,e,6,3,2,2612760874992,2612000134512,2612000134512,2,5,3
06402820402,064028204,0640282,e,e,e,e,e,6,3,1,2612760875184,2612000134512,2612000134512,2,5,3
06402821001,064028210,0640282,e,e,e,e,e,6,3,2,2612760875376,2612000134512,2612000134512,2,4,3
06402821002,064028210,0640282,e,e,e,e,e,6,3,2,2612760875568,2612000134512,2612000134512,2,5,3
06402820601,064028206,0640282,e,e,e,e,e,6,3,2,2612760875760,2612000134512,2612000134512,2,5,3
