householdID,communityID,i001,i002,i003,i004,i005,i005_1,i006,i007,i008,i009,i010,i011,i012_1,i012_2,i012_3,i012_4,i012_5,i013,i014s1,i014s2,i015,i016,i017,i018,i019,i020,i021,i022,i023,i024,i025,i026
194037307,1940373,70,96,2,3,1996,,2,,5,2,2,4,3,1,1,1,2,,e,2,1,1,1,2,2,1,,2,2,1,2,3
194037326,1940373,70,96,2,3,1995,,2,,2,2,2,4,3,1,1,1,2,,e,2,1,1,1,2,2,1,,5,1,2,2,3
194037317,1940373,90,90,2,2,d,4,2,,5,2,2,4,2,1,1,1,1,,e,2,1,1,1,3,2,1,,4,2,2,3,3
194037328,1940373,70,95,2,2,1995,,1,1,,,2,1,3,1,0,1,0,10,e,2,2,2,2,2,2,2,2,4,2,2,3,3
194037339,1940373,25,50,2,2,1996,,1,2,,,1,,1,0,0,1,0,100,1,e,2,1,1,3,2,1,,4,2,2,3,3
194037324,1940373,96,100,2,1,1996,,2,,1,,1,,3,1,1,1,2,,e,2,1,1,1,2,2,1,,5,2,2,1,3
194037302,1940373,60,70,2,2,1981,,1,1,,,2,1,2,1,0,1,0,50,1,e,2,2,2,3,2,2,2,5,2,2,3,3
194037337,1940373,80,96,2,2,1955,,2,,3,2,2,4,3,1,1,1,2,,e,2,1,1,1,2,2,1,,5,1,1,1,3
194037304,1940373,93,100,2,1,1993,,2,,4,2,2,4,3,1,1,1,2,,e,2,1,1,1,2,2,1,,4,2,2,2,3
194037332,1940373,95,95,2,2,1994,,2,,3,2,2,4,3,1,1,1,1,,e,2,1,1,1,2,2,1,,4,2,2,3,3
194037309,1940373,72,94,2,3,1995,,2,,4,2,2,4,3,1,1,1,2,,e,2,1,1,1,2,2,1,,4,1,1,3,3
194037335,1940373,96,100,2,1,1993,,2,,1,,1,,3,1,1,1,2,,e,2,1,1,1,2,2,1,,4,2,1,1,3
194037327,1940373,90,90,2,2,1994,,2,,2,2,2,3,2,1,1,1,1,,e,2,1,1,1,2,2,1,,4,2,1,2,3
194037330,1940373,100,100,2,2,1993,,2,,1,,2,1,3,1,1,1,1,,e,2,1,1,1,2,2,1,,4,2,2,2,3
194037313,1940373,60,100,2,2,1963,,1,1,,,2,1,2,1,0,1,0,20,1,e,2,1,1,3,2,2,2,4,2,2,4,3
194037336,1940373,70,90,2,2,1975,,1,1,,,2,1,2,1,0,1,0,20,1,e,2,2,2,3,2,2,2,4,1,2,2,3
194037338,1940373,75,100,1,2,1980,,1,1,,,1,,3,1,0,1,0,10,1,e,2,1,1,3,2,2,2,4,2,2,2,3
194037334,1940373,70,90,2,2,1994,,1,1,,,2,1,3,1,0,1,0,20,e,2,2,2,2,3,2,2,2,4,2,2,3,3
194037318,1940373,80,180,2,2,1995,,1,1,,,1,,3,1,0,1,0,100,1,e,2,1,1,3,2,2,2,4,2,2,3,3
194037303,1940373,84,174,2,2,1986,,1,2,,,1,,3,1,0,1,0,50,1,e,2,1,1,3,2,2,4,4,2,2,2,3
194037331,1940373,90,226,2,2,1981,,1,1,,,2,1,d,d,d,d,d,50,1,e,2,1,1,3,2,2,2,4,2,2,3,3
194037312,1940373,120,200,2,2,2010,,1,1,,,1,,2,1,0,1,0,20,1,e,2,2,1,3,2,2,2,4,2,2,1,3
194037305,1940373,90,120,2,2,1992,,1,1,,,2,1,2,2,1,1,1,,1,e,1,1,1,2,2,1,,4,1,1,3,3
064028309,0640283,90,10,2,1,d,1,2,,5,1,1,,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,2,1,3,3
064028302,0640283,70,70,2,1,2008,,2,,22,1,1,,1,1,1,1,1,,e,2,1,1,1,2,1,1,,2,2,2,2,3
064028306,0640283,90,90,2,1,2008,,2,,21,1,1,,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,2,1,d,d
064028313,0640283,68,68,2,1,2008,,2,,11,1,1,,1,1,1,1,1,,e,2,1,1,1,2,1,1,,2,2,1,2,d
064028307,0640283,82,82,2,1,2008,,2,,8,1,2,4,2,1,1,1,1,,e,2,1,1,1,1,1,1,,2,1,1,2,3
064028315,0640283,78,78,2,1,2008,,2,,22,1,2,4,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,2,2,3,3
064028314,0640283,90,90,2,1,2008,,2,,9,1,1,,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,2,1,2,3
064028311,0640283,80,80,2,1,2008,,2,,20,1,1,,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,2,1,2,3
064028310,0640283,50,10,2,1,2008,,2,,6,1,1,,1,1,1,1,1,,e,2,1,1,1,2,1,1,,2,2,2,4,3
064028308,0640283,75,75,2,1,2008,,2,,7,1,2,4,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,1,3
064028305,0640283,90,10,2,1,2011,,2,,14,1,1,,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,2,2,4,2
064028304,0640283,78,78,2,1,2008,,2,,8,1,1,,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,2,2,3,3
064028312,0640283,70,70,2,1,2008,,2,,9,1,1,,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,2,3
064028303,0640283,72,10,2,1,d,1,2,,17,1,1,,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,2,3,3
064028301,0640283,40,40,2,1,1990,,2,,1,,2,2,1,1,1,1,1,,e,2,1,1,1,3,2,2,2,1,2,2,3,4
064028106,0640281,48,55,2,1,1973,,2,,3,2,2,4,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,3,2
064028105,0640281,70,70,2,1,1987,,2,,2,2,1,,2,1,1,1,2,,e,2,1,1,1,2,1,1,,2,1,2,2,3
064028101,0640281,60,60,2,1,1995,,2,,4,2,2,4,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,2,3,2
064028108,0640281,60,60,2,1,1987,,2,,4,2,2,4,2,1,1,1,1,,e,2,1,1,1,2,2,2,2,4,1,1,3,3
064028102,0640281,57,57,2,1,1986,,2,,1,,2,1,2,1,1,1,1,,e,2,1,1,1,2,1,2,4,4,1,1,3,3
064028111,0640281,65,65,2,1,1991,,2,,1,,2,1,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,3,3
064028110,0640281,70,70,2,1,1980,,2,,1,,2,1,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,4,3
064028117,0640281,70,70,2,1,2005,,2,,3,2,2,3,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,2,3
064028103,0640281,82,82,2,1,2004,,2,,5,2,2,4,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,2,3
064028115,0640281,52,52,2,1,1972,,2,,1,,2,1,2,1,1,1,1,,e,2,1,1,1,2,1,1,,4,1,1,4,2
064028107,0640281,60,64,2,2,1971,,2,,3,2,2,4,1,1,0,1,1,5,1,e,1,1,1,3,1,1,,2,2,2,3,3
064028116,0640281,27,52,2,1,1979,,2,,4,2,2,4,2,1,1,1,1,,1,e,1,1,1,2,1,1,,2,1,2,2,3
064028112,0640281,65,65,2,1,d,3,2,,11,1,2,4,2,1,1,1,1,,e,2,1,1,1,2,2,1,,4,2,1,3,3
064028118,0640281,80,80,2,1,2009,,2,,1,,2,1,1,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,2,3
064028114,0640281,59,59,2,2,1993,,2,,7,2,2,4,2,1,1,1,1,,1,e,1,1,1,3,1,1,,2,2,1,2,3
064028104,0640281,52,52,2,1,1987,,2,,2,2,2,3,2,0,1,1,1,,1,e,1,1,1,2,1,1,,4,2,2,3,3
064028113,0640281,67,67,2,1,1996,,2,,6,2,2,4,2,1,1,1,2,,1,e,1,1,1,2,1,1,,2,2,1,2,3
064028208,0640282,50,50,2,1,1992,,2,,3,2,2,3,1,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,3,3
064028215,0640282,60,60,2,1,1993,,2,,2,2,2,4,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,2,2,3,3
064028218,0640282,74,74,2,1,1995,,2,,5,2,2,4,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,2,1,3,3
064028207,0640282,127,127,2,1,1995,,2,,2,2,2,3,3,2,2,2,1,,e,2,1,1,1,2,1,1,,2,2,1,2,3
064028212,0640282,69,69,2,1,1995,,2,,5,2,2,4,2,1,1,1,0,,e,2,1,1,1,2,1,1,,2,2,1,3,3
064028217,0640282,58,58,2,1,1980,,2,,3,2,2,3,2,1,1,1,1,,e,2,1,1,1,2,2,1,,4,1,1,4,3
064028205,0640282,88,88,2,1,2005,,2,,7,1,2,4,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,3,3
064028203,0640282,38,38,2,1,1975,,2,,3,2,2,3,1,1,1,1,1,,e,2,1,1,1,2,2,1,,5,1,1,4,3
064028213,0640282,50,50,2,1,1996,,2,,4,2,2,4,2,1,1,1,2,,1,e,1,1,1,2,2,1,,4,2,1,3,3
064028221,0640282,59,59,2,1,1988,,2,,5,2,1,,2,1,1,1,1,,e,2,1,1,1,2,2,1,,4,1,2,3,3
064028204,0640282,100,100,2,1,1997,,2,,5,2,2,4,2,2,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,3,3
064028220,0640282,60,60,1,1,1980,,2,,1,,2,1,2,1,1,1,1,,e,2,1,1,1,2,2,1,,5,2,1,4,3
064028210,0640282,70,70,2,1,1982,,2,,5,2,2,4,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,3,3
064028206,0640282,61,61,2,1,1980,,2,,1,,2,1,2,1,1,1,1,,e,2,1,1,1,2,2,1,,4,1,1,3,2
064028216,0640282,100,100,2,1,1993,,2,,1,,2,2,3,1,1,1,1,,e,2,1,1,1,2,1,1,,2,2,1,3,3
064028209,0640282,41,41,2,1,1980,,2,,4,2,2,4,2,1,1,1,1,,1,e,1,1,1,2,1,1,,2,2,1,3,3
064028219,0640282,57,57,2,1,1980,,2,,3,2,2,4,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,2,2
064028211,0640282,106,106,2,1,1999,,2,,2,2,2,3,3,1,1,1,1,,e,2,1,1,1,2,1,1,,2,2,1,2,3
064028201,0640282,72,72,2,1,2005,,2,,5,2,2,4,2,1,1,1,1,,1,e,1,1,1,2,1,1,,2,2,2,3,3
064028214,0640282,71,71,2,1,2005,,2,,1,,2,1,2,1,1,1,1,,e,2,1,1,1,2,1,1,,2,1,1,3,3
064028202,0640282,45,45,2,2,1978,,2,,1,,2,1,2,1,1,1,1,,1,e,1,1,1,2,2,1,,4,2,2,3,3
064033321,0640333,110,238,2,2,1987,,1,1,,,2,1,4,2,0,0,0,20,1,e,2,1,1,3,2,2,2,1,2,2,2,3
064033327,0640333,223,318,2,3,1998,,1,1,,,2,1,4,2,0,1,0,30,1,e,2,1,1,2,2,2,2,6,2,2,3,3
064033325,0640333,126,200,2,2,1983,,1,1,,,2,1,4,1,0,2,0,5,1,e,2,1,1,3,2,2,6,6,2,2,3,2
064033322,0640333,100,194,2,2,1995,,1,1,,,2,1,3,1,0,1,0,25,1,e,2,1,1,3,2,2,6,6,2,2,3,3
064033330,0640333,112,255,2,2,1984,,1,1,,,2,1,4,4,0,1,0,20,1,e,2,1,1,3,2,2,2,6,2,2,3,3
064033324,0640333,d,d,2,2,1993,,1,1,,,2,1,4,1,0,1,0,7,1,e,2,1,1,2,2,2,2,6,2,2,3,3
064033333,0640333,d,254,2,2,1983,,1,1,,,2,1,3,0,0,1,0,4,1,e,2,1,1,3,2,2,2,6,2,2,3,3
064033306,0640333,180,400,2,2,1989,,1,1,,,2,1,2,1,0,1,0,5,1,e,2,1,1,2,2,2,6,5,2,2,2,3
064033301,0640333,350,600,2,3,1984,,1,1,,,2,1,3,2,0,1,0,20,1,e,2,2,2,2,2,2,6,6,2,2,3,3
064033331,0640333,d,d,2,1,2009,,1,1,,,2,2,4,2,0,0,0,20,1,e,2,1,1,3,2,2,2,6,2,2,3,1
064033303,0640333,104,d,2,3,1982,,1,1,,,2,1,3,0,0,1,0,20,1,e,2,1,1,3,2,2,6,6,2,2,4,1
064033304,0640333,d,d,2,2,1982,,1,1,,,2,1,2,0,0,0,0,20,1,e,2,1,1,3,2,2,2,6,2,2,3,2
064033307,0640333,60,d,2,3,2010,,1,1,,,2,1,4,1,0,0,0,15,1,e,1,1,1,2,2,2,2,5,2,2,2,1
064033326,0640333,120,d,2,3,1980,,1,1,,,2,1,5,0,0,0,0,20,1,e,2,1,1,2,2,2,2,6,2,2,3,1
064033305,0640333,100,100,2,2,1984,,1,1,,,2,1,2,0,0,1,0,10,1,e,2,1,1,3,2,2,2,6,2,2,5,d
064033320,0640333,194,281,2,1,2004,,1,1,,,2,1,4,1,0,1,0,10,1,e,2,1,1,2,2,2,2,6,2,2,3,2
064033308,0640333,10,10,2,3,1980,,1,1,,,2,1,3,1,0,1,1,10,1,e,2,1,1,3,2,2,2,6,2,2,3,3
064033319,0640333,100,437,2,1,1999,,1,1,,,2,1,4,2,1,1,1,,1,e,2,1,1,2,2,2,7,6,2,2,4,3
064033313,0640333,180,238,2,2,1980,,1,1,,,2,1,5,1,0,1,0,5,1,e,2,1,1,3,2,2,2,6,2,2,d,d
064033316,0640333,10,300,2,2,d,3,1,1,,,2,1,2,2,0,2,0,5,1,e,1,1,1,3,2,2,6,6,2,2,5,3
064033314,0640333,10,10,2,3,1990,,1,1,,,2,1,2,2,0,0,0,10,1,e,2,1,1,3,2,2,2,6,2,2,5,3
064033315,0640333,150,238,2,2,1998,,1,1,,,2,1,4,2,0,1,0,10,1,e,2,1,1,3,2,2,2,6,2,2,3,3
064033318,0640333,164,238,2,1,2000,,1,1,,,2,1,4,2,1,2,1,,1,e,2,1,1,2,2,2,2,6,2,2,3,3
064033328,0640333,99,264,2,1,1997,,1,1,,,2,1,3,1,0,1,0,5,1,e,2,1,1,3,2,2,2,6,2,2,3,3
064033317,0640333,200,230,2,1,2003,,1,1,,,2,1,4,2,0,1,1,15,1,e,2,1,1,2,2,2,2,1,2,2,4,3
064033323,0640333,120,195,2,2,1987,,1,1,,,2,1,2,0,1,1,0,,1,e,2,1,1,2,2,2,2,6,2,2,4,3
064033302,0640333,100,10,2,3,1988,,1,1,,,2,1,3,1,0,1,1,20,1,e,2,1,1,3,2,2,2,5,2,2,d,d
064033309,0640333,130,230,2,1,1993,,2,,1,,2,1,4,2,0,1,1,10,1,e,2,1,1,2,2,2,2,6,2,2,1,3
064033329,0640333,200,239,2,2,1987,,1,1,,,2,2,3,0,0,1,0,5,1,e,2,1,1,3,2,2,2,6,2,2,4,3
064033312,0640333,60,100,2,2,d,3,1,1,,,1,,d,d,d,d,d,25,1,e,2,1,1,3,2,2,2,6,2,2,4,3
064033311,0640333,10,10,2,3,d,4,1,1,,,2,1,2,0,0,1,1,d,1,e,2,1,1,2,2,2,7,3,2,2,5,d
064033332,0640333,32,135,2,2,1999,,1,1,,,2,1,1,0,0,1,0,10,1,e,2,1,1,3,2,2,2,6,2,2,3,3
064033310,0640333,306,238,2,1,2006,,2,,1,,2,4,4,4,0,0,2,10,1,e,2,1,1,2,2,2,2,1,2,2,3,3
064033221,0640332,1834188052880,1834254743728,,,1835608501872,,,,,,,,0,1834188052880,1834188052880,0,0,,0,0,,,,,,,,,,,1834188052880,0
064033207,0640332,130,130,2,1,2007,,2,,1,,2,1,2,1,2,1,0,,e,2,1,1,1,2,2,2,5,4,2,2,1,4
